sensitivity,compressionRatio,priorityError
0,0.457148,0
1000,0.477257,0.000457764
2000,0.480945,0.00086655
3000,0.483579,0.00153863
4000,0.485248,0.00214869
5000,0.48674,0.00297061
6000,0.487267,0.00340138
7000,0.488409,0.00406095
8000,0.489287,0.00636574
9000,0.489814,0.00667955
10000,0.489989,0.00755129
11000,0.490692,0.00839714
12000,0.490516,0.00847044
13000,0.491658,0.0101969
14000,0.492097,0.0117411
15000,0.492185,0.0128713
16000,0.491482,0.0154919
17000,0.49236,0.0160704
18000,0.492887,0.0179731
19000,0.492887,0.0185436
20000,0.493151,0.0215027
21000,0.493151,0.0206236
22000,0.493414,0.02168
23000,0.493414,0.0219867
24000,0.493941,0.0228356
25000,0.494204,0.0284767
26000,0.493941,0.0274987
27000,0.493678,0.0318961
28000,0.494468,0.0309667
29000,0.494731,0.0302522
